date,source,data_type,list_type,keyword,rank,title,price,rating,review_count,likes,comments,views,published_at,competition_count,product_url,image_url,hot_score,reason
2026-08-04,amazon_us,product,search,women summer slippers,12,Women's Orthopedic Summer Slippers with Arch Support for Plantar Fasciitis,¥129.74,4.3,1K+ bought in past month,,,,,,https://www.amazon.com/shevalues-Summer-Slippers-Support-Breathable/dp/B0BK8PN8CL/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3B_wBrVg1UMy5tWehIloEqh3GcRQaYuBAiGuYjezoF8Dm6sY8g4v-VR8VGlcZDhfZZ00qHRNt3j33kRWI9xMudg3niaoteu6WzqDMjqIMDCIAkwfAR6ukf09NdIy2nDTCvqsDV8IODBh7K-bnu4KrD2voxBG0Ud3U_gVdMWwdgphp0szPxsaL-IeMDgKntnAd3BKyjDgFgIPwi12ChR2zlKFMIrMsmh2XgGZnf0Gt97YeBSjYEfuLzL8GLBq0hsXJaNoyAovo0umacq4nRmSwyCfm_9RcHedEiSDNkfpcf8.J1zRt4aXGFwXAolNFfpIyLdSwJHStNCahtFtcWaNSAA&dib_tag=se&keywords=women+summer+slippers&qid=1785816716&sr=8-4,https://m.media-amazon.com/images/I/71wQ2tOj0+L._AC_UL320_.jpg,100,排名进入前30；评论数达到1000以上；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 orthopedic、arch support、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
2026-08-04,amazon_us,product,search,platform sandals women,18,"UBFEN Womens Espadrille Platform Sandals Low Wedge Orthopedic Arch Support | Cushion Insole, Comfortable Dressy Buckle Sandals for Walking and Vacation, Low Heel, Adjustable Strap UBFEN Womens Espadrille Platform Sandals Low Wedge Orthopedic Arch Support | Cushion Insole, Comfortable…",¥287.93,4.6,4.6,,,,,,https://sponsored-ads.amazon.com/clk/?_encoding=UTF8&p=eAFVT1tr01AApg51hE2lDxPqWwd5qJwkJ2tulSC5rZayrU0bnX0JJzknF5cmWc7ZMnzoL3AvIvg7xH8g6JtP_iHBTsTv6YPvxsdFu7c_v_960N23lq9n7nQyPZdcz-934OAgIWV-E5J3z90lRhlpbWcSBVejA-A6U394rF7pmrucnXuJkKLV3OdkSVAUAR4J0urewo52LW_5yvMni-5T7iEm9IJVdXcvOPU952x8Oll5bu9Dhzu8U0JKUBNnYU2auCoQI2FeFnlJwoglXQ6t0fuqFOJq3XtGIxAXiNI8BtsM2DpBDfv3SRkGi4FCI8AysiYYxFVRkJjlVQmuZXA3BmLUYApqlJeMNCCuSkZK1le5jvTk45evP26_ub1Hf73b9v5jWZIkA0IFakMValDeCRbuaMeZOYNp94VrW059PAGatbEvt0itjT2vonTsWP9jY6cbe76xrT8k7e05qXcztrz0enpC5M8d7lMnY6ymI1Fs21b4911MaxG1IhZtaay-9VV3pr-scdjgsC4y3JiMzygK4ybMsSnxlzk2oaYrOlQ1qPG0MSGAQEGKosqJARKcYDCEEgRGYmCANRUhwzD04ZHM5yaqKY8akpjzC8MITqzk7M1vVjavLg&v=c1&r=https%3A%2F%2Fwww.amazon.com%2Fgp%2Faw%2Fd%2FB0G6YR6DP8%3Fpd_rd_plhdr%3Dt%26hsa_cr_id%3D0%26qid%3D1785816717%26sr%3D1-1-5a5562f9-fdfd-4101-9f9d-d76aa9998432%26i%3Daps%26aref%3DQk99UMAfOW&ref_=sbx__sbtcd2_asin_0_bkgd&pd_rd_w=cNBdB&content-id=amzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762%3Aamzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_p=90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_r=81QPZEW1PMFTS2N3N4RZ&pd_rd_wg=nR9er&pd_rd_r=3a231ca3-d8c4-41d5-99db-8ebaa42db7c1,"https://m.media-amazon.com/images/I/71Cs5sEmDeL._AC_SR322,134_CB1169409_QL70_.jpg",100,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、orthopedic、comfort、arch support、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；orthopedic + arch support组合趋势加分；评分达到4.6以上。
2026-08-04,amazon_us,product,search,platform sandals women,19,"UBFEN Womens Platform Wedge Sandals Orthopedic Arch Support | Espadrille Slides, Comfortable Cushioned, Dressy for Summer Walking, Beach Vacation UBFEN Womens Platform Wedge Sandals Orthopedic Arch Support | Espadrille Slides, Comfortable Cushio…",¥287.93,4.6,4.6,,,,,,https://sponsored-ads.amazon.com/clk/?_encoding=UTF8&p=eAFVT8tq1FAAZSzaEqqWLCqMuxFmMXKT3HSSTEaC5NUxjG3nFZ3OJtzk3jxsJklzb5viYr7AbkTwO8Q_EHTnyh8SnIp4VgfOi8OFe7c_v_96wD80F28mztgbLyXHnXVasHcYkyK7Cci7584Co5Q0lu2F_tXwEDj2eNY_Vq8GmrOYLN1YSNBqOuNkSVAUAR4J0ure3Ar3THfxyp15c_4Jt4sJvWBlxe_7pzPXPhudeivXaX9occ_ulIASVEdpUJE6KnPESJAVeVaQIGQxz6E1el8WQlSu209pCKIcUZpFYJsBWyeoYOc-KQJ_3lNoCFhK1gSDqMxzErGsLMC1DO7GQIRqTEGFsoKRGkRlwUjBOirXkg4-fvn64_ab037017tt7zyWJUnSIVSg1lehBuUdf-4Md-yJ3RvzLxzLtKtjD2jmxrrcIjE31rQMk5Ft_o-NlWys6cYy_5CkvW8n7s3IdJPr8QmRP7e4T62UsYoORbFpGuHfdzGpRNSIWLSkkXq-Wp6_dl5WOKhxUOUprg3WTSkKojrIsCF1LzNsQG2gDKCqQa1LawMCGShIUVQ51kGMYwz6UIJAj3UMsKYipOv6oH8kdzMDVbSLahIb0wtd90_M-Oztb3USr3Y&v=c1&r=https%3A%2F%2Fwww.amazon.com%2Fgp%2Faw%2Fd%2FB0G6YZXYLD%3Fpd_rd_plhdr%3Dt%26hsa_cr_id%3D0%26qid%3D1785816717%26sr%3D1-2-5a5562f9-fdfd-4101-9f9d-d76aa9998432%26i%3Daps%26aref%3DQk99UMAfOW&ref_=sbx__sbtcd2_asin_1_bkgd&pd_rd_w=cNBdB&content-id=amzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762%3Aamzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_p=90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_r=81QPZEW1PMFTS2N3N4RZ&pd_rd_wg=nR9er&pd_rd_r=3a231ca3-d8c4-41d5-99db-8ebaa42db7c1,"https://m.media-amazon.com/images/I/71LWkfwnDvL._AC_SR322,134_CB1169409_QL70_.jpg",100,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、orthopedic、comfort、arch support、beach、summer、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；orthopedic + arch support组合趋势加分；评分达到4.6以上。
2026-08-04,amazon_us,product,search,platform sandals women,22,"UBFEN Womens Platform Sandals Low Wedge Espadrille Orthopedic Arch Support | Cushion Insole, Adjustable Back Strap, Dressy, Comfortable, Lightweight, Walking Sandals for Vacation UBFEN Womens Platform Sandals Low Wedge Espadrille Orthopedic Arch Support | Cushion Insole, Adj…",¥287.86,4.6,4.6,,,,,,https://sponsored-ads.amazon.com/clk/?_encoding=UTF8&p=eAFVT1tr01AApo7pCPNCHjaobxX6UDlJTtYkTUeQ3Fa7uq1NWjf6Ek5yTi4uTbKcs3X4kF_gXkTwd4j_QNA3n_xDgp2I39MH342PC3fufn7_9ZB_bM7fTp3JeHIhOa7XacHeXkyK7DYg7146c4xSsrbscbi4Hu4Bx554_SP1eqA58-mFGwsJWs48TpYERRHggSAtH_hWuGO689euN_b5fe4RJvSSlRW_uzj1XPtsdDpeuk77Q4t7ca8ElKA6SoOK1FGZI0aCrMizggQhi3kOrdD7shCictV-TkMQ5YjSLAKbDNg4QQU726QIFn5PoSFgKVkRDKIyz0nEsrIANzK4HwMRqjEFFcoKRmoQlQUjBeuoXEt69vHL1x9335z2k7_eTXvnqSxJkg6hArW-CjUoby18Z7hlT-3ehD90LNOujsZAMxvraoPEbKxZGSYj2_wfjZU01qyxzD8kae_aiXs7Mt3kZnJC5M8t7lMrZayiQ1Fcr9fCv-9iUoloLWLRkkbHvvzmWDl_VeGgxkGVp7g2WDelKIjqIMOG1L3KsAG1gTKAqga1Lq0NCBSgIEVR5VgHMY4x6EMJAj3WMcCaipCu64P-gdzNDFTRLqpJbMwudX1xYsZn578BXRuvQA&v=c1&r=https%3A%2F%2Fwww.amazon.com%2Fgp%2Faw%2Fd%2FB0GJS2LJ5W%3Fpd_rd_plhdr%3Dt%26hsa_cr_id%3D0%26qid%3D1785816717%26sr%3D1-5-5a5562f9-fdfd-4101-9f9d-d76aa9998432%26i%3Daps%26aref%3DQk99UMAfOW&ref_=sbx__sbtcd2_asin_4_bkgd&pd_rd_w=cNBdB&content-id=amzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762%3Aamzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_p=90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_r=81QPZEW1PMFTS2N3N4RZ&pd_rd_wg=nR9er&pd_rd_r=3a231ca3-d8c4-41d5-99db-8ebaa42db7c1,"https://m.media-amazon.com/images/I/81mta1Mp3vL._AC_SR322,134_CB1169409_QL70_.jpg",100,排名进入前30；价格处于人民币等值¥180.00-¥288.00区间；标题包含 platform、orthopedic、comfort、arch support、wedge，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；orthopedic + arch support组合趋势加分；评分达到4.6以上。
2026-08-04,amazon_us,product,search,women summer slippers,18,Cloud Slide Sandals for Women Men Ultra Comfort Recovery Slippers,¥71.93,4.3,3K+ bought in past month,,,,,,https://www.amazon.com/Sandals-Lightweight-Bathroom-Non-Slip-Slippers/dp/B099DTRKSL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3B_wBrVg1UMy5tWehIloEqh3GcRQaYuBAiGuYjezoF8Dm6sY8g4v-VR8VGlcZDhfZZ00qHRNt3j33kRWI9xMudg3niaoteu6WzqDMjqIMDCIAkwfAR6ukf09NdIy2nDTCvqsDV8IODBh7K-bnu4KrD2voxBG0Ud3U_gVdMWwdgphp0szPxsaL-IeMDgKntnAd3BKyjDgFgIPwi12ChR2zlKFMIrMsmh2XgGZnf0Gt97YeBSjYEfuLzL8GLBq0hsXJaNoyAovo0umacq4nRmSwyCfm_9RcHedEiSDNkfpcf8.J1zRt4aXGFwXAolNFfpIyLdSwJHStNCahtFtcWaNSAA&dib_tag=se&keywords=women+summer+slippers&qid=1785816716&sr=8-10,https://m.media-amazon.com/images/I/71uNAZpAhiL._AC_UL320_.jpg,97,排名进入前30；评论数达到1000以上；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 cloud、recovery、comfort，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-08-04,amazon_us,product,best_sellers,Best Sellers Women Sandals,10,OOFOS OOahh Recovery Slide - Women’s and Men’s,¥431.64,4.4,"32,986",,,,,,https://www.amazon.com/OOFOS-Unisex-Ooahh-Slide-Sandal/dp/B00BRC4L14/ref=zg_bs_g_679425011_d_sccl_10/133-1636655-0107931?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51xksaC-aaL._AC_UL600_SR600,400_.jpg",88,排名靠前；评论数高；价格高于人民币等值¥288.00；标题包含 recovery，符合美国女鞋舒适化趋势；评分达到4.3以上。
2026-08-04,amazon_us,product,search,women slides,14,"JUYETOA Kids Cloud Slides for Boys & Girls, Super Soft & Comfy Beach Pool Slippers, Non-Slip Waterproof Shower Sandals for Toddlers & Kids JUYETOA Kids Cloud Slides for Boys & Girls, Super Soft & Comfy Beach Pool Slippers, Non-Slip Waterproof Shower Sandals for Toddlers & Kids",¥172.73,4.6,4.6,,,,,,https://sponsored-ads.amazon.com/clk/?_encoding=UTF8&p=eAFVT8uK01AApQ7qEMYHXYxQdxW6KNzk3mTSNJUieU2bZqzTp0424ebemzQ0TTK5YVpc9ANEd4I7f8MvcKdu_Bp3gh0Rz-rAeXGE8PjD968_79UfGPPlpe253htoO9NmDbVPI5Ylu8BlZI6WmyFaR-bac73eqXKhXWl0dz7yy1G4fq2I4yEfT6aCDEVVFZEiQv_OzAyPDWc-dKburP5EuE8ZX1d5UT9ZjKeO9Wowdn3HbryvCc9ulYAzXJJVULCS5CmuWJBkaZKxIKyiuoA3-G2eiSTfNJ7yEJAUc54QcMiAgxMUqHmXZcFi1lZ5CKoV2zAKSJ6mjFRJnoEbGdyOAYJLykGBk6xiJSB5VrGsanaEGnz87sevb5-_2I2Hf72H9uYjBUKoaVDRZYhk2JGPFjO7d2RdWm2v_tw2Das4d4Fm7M3rA2Jjb07yMB5Yxv_Ym_HenOxN4w-JGydW7OwGhhPfeC-Z_KkmfKytqqrgPUnabrfiv-9SXEh4K1HJhNZyOfb9kf-ioEFJgyJd0bJftVYcB6QMEtqHreuE9pHWVbuooyGtxcs-AgioWFU7cqSDiEYUnCGIgB7pFFCtg7Gu690zRW4lfVzwFi5Z1CfU8C5mFkG73yansD0&v=c1&r=https%3A%2F%2Fwww.amazon.com%2Fgp%2Faw%2Fd%2FB0CVVNZZJZ%3Fpd_rd_plhdr%3Dt%26hsa_cr_id%3D0%26qid%3D1785816717%26sr%3D1-1-5a5562f9-fdfd-4101-9f9d-d76aa9998432%26i%3Daps%26aref%3DcdAKLSCc1x&ref_=sbx__sbtcd2_asin_0_bkgd&pd_rd_w=OjXqr&content-id=amzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762%3Aamzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_p=90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_r=Y7YQEVC6QQQD7VY90GY9&pd_rd_wg=yI5zc&pd_rd_r=37469c67-2452-4aed-8be4-e87bf069c9af,"https://m.media-amazon.com/images/I/51BnoLqHhEL._AC_SR322,134_CB1169409_QL70_.jpg",84,排名进入前30；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 cloud、soft、beach，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.6以上。
2026-08-04,amazon_us,product,search,women slides,15,"JUYETOA Kids Cloud Slides for Boys & Girls, Super Soft & Comfy Beach Pool Slippers, Non-Slip Waterproof Shower Sandals for Toddlers & Kids JUYETOA Kids Cloud Slides for Boys & Girls, Super Soft & Comfy Beach Pool Slippers, Non-Slip Waterproof Shower Sandals for Toddlers & Kids",¥128.45,4.6,4.6,,,,,,https://sponsored-ads.amazon.com/clk/?_encoding=UTF8&p=eAFVT8uK01AApQ7qEMYHXYxQdxW6KNzk3mSSNJUieU2byVj71ukm3Nx7k4amSSY3TIuLfoDoTnDnb_gF7tSNX-NOsCPiWR04L44QHn_4_vXnvfoDc7YYOb7nv4GOO2nWUPs0YlmyCzxGZmixGaB1ZK19z--eKpf6lU535xfL8iJcv1bE4YAPxxNBhqKqikgR4fLO1AqPTXc2cCfetP5EuE8ZX1d5UT-ZDyeu_ao_9Jau03hfE57dKgFnuCSroGAlyVNcsSDJ0iRjQVhFdQFv8Ns8E0m-aTzlISAp5jwh4JABBycoUPMuy4L5tK3yEFQrtmEUkDxNGamSPAM3MrgdAwSXlIMCJ1nFSkDyrGJZ1dSEGnz87sevb5-_OI2Hf72H9uYjBUKo61AxZIhkqMlH86nTPbJHdtuvP3cs0y7OPaCbe-v6gNjcW-M8jPu2-T_2Vry3xnvL_EPixokdu7u-6cY3_ksmf6oJH2urqip4V5K2263477sUFxLeSlSyoL1YjIaWrb0oaFDSoEhXtOxVrRXHASmDhPZg6zqhPaR31A7SdKS3eNlDQAYqVlVNjgwQ0YiCMwQRMCKDAqprGBuG0TlT5FbSwwVv4ZJFPUJN_3JqE7T7DQYUr_E&v=c1&r=https%3A%2F%2Fwww.amazon.com%2Fgp%2Faw%2Fd%2FB0CVVPNBC6%3Fpd_rd_plhdr%3Dt%26hsa_cr_id%3D0%26qid%3D1785816717%26sr%3D1-2-5a5562f9-fdfd-4101-9f9d-d76aa9998432%26i%3Daps%26aref%3DcdAKLSCc1x&ref_=sbx__sbtcd2_asin_1_bkgd&pd_rd_w=OjXqr&content-id=amzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762%3Aamzn1.sym.90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_p=90f77631-9599-4fe0-95f8-a40adfe1c762&pf_rd_r=Y7YQEVC6QQQD7VY90GY9&pd_rd_wg=yI5zc&pd_rd_r=37469c67-2452-4aed-8be4-e87bf069c9af,"https://m.media-amazon.com/images/I/61Qy2X3Em0L._AC_SR322,134_CB1169409_QL70_.jpg",84,排名进入前30；价格处于人民币等值¥57.60-¥180.00黄金区间；标题包含 cloud、soft、beach，符合美国女鞋舒适化趋势；cloud + slides组合趋势加分；评分达到4.6以上。
2026-08-04,amazon_us,product,new_releases,New Releases Women Sandals,5,Project Cloud Platform Sandals Women Memory Foam Flip Flops (ELEVATION) | Durable and Lightweight Non-Slip Sole Summer Thong Sandals - Platform Flip Flops for Women Everyday Comfort Daily.,,4.1,$39.90,,,,,,https://www.amazon.com/Project-Cloud-Platform-Sandals-ELEVATION/dp/B0GTZM2X7L/ref=zg_bsnr_g_679425011_d_sccl_5/143-6740310-6939560?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61E9Kh8oh9L._AC_UL600_SR600,400_.jpg",79,排名靠前；标题包含 cloud、platform、comfort、summer，符合美国女鞋舒适化趋势；platform + comfort组合趋势加分；评分达到4.0以上。
2026-08-04,amazon_us,product,best_sellers,Best Sellers Women Sandals,21,"shevalues Orthopedic Sandals for Women, Arch Support Recovery Flip Flops | Orthotic Pillow Soft Summer Beach Shoes, Comfortable for Plantar Fasciitis",,4.3,$18.99,,,,,,https://www.amazon.com/Orthotic-Pillow-Recovery-Sandals-Support/dp/B09LC836QG/ref=zg_bs_g_679425011_d_sccl_21/133-1636655-0107931?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61o9ArJVVsL._AC_UL600_SR600,400_.jpg",77,排名进入前30；标题包含 recovery、orthopedic、comfort、arch support、soft、beach、summer，符合美国女鞋舒适化趋势；orthopedic + arch support组合趋势加分；评分达到4.3以上。
